ag_firstname,ag_lastname,ag_fullname,ag_id,release_date,title,summary,source_url,file_name,year,ag_ident,doc_type,unique_id
Greg,Abbott,Greg Abbott,921,3/10/13,ORD-678,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2003/pdf/ord20030678.pdf,ord20030678.pdf,2003,50abbott,ORD,1
Greg,Abbott,Greg Abbott,921,5/16/03,ORD-679,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2003/pdf/ord20030679.pdf,ord20030679.pdf,2003,50abbott,ORD,2
Greg,Abbott,Greg Abbott,921,11/25/03,ORD-680,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2003/pdf/ord20030680.pdf,ord20030680.pdf,2003,50abbott,ORD,3
Greg,Abbott,Greg Abbott,921,2/13/04,ORD-681,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2004/pdf/ord20040681.pdf,ord20040681.pdf,2004,50abbott,ORD,4
Greg,Abbott,Greg Abbott,921,6/13/05,ORD-682,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2005/pdf/ord20050682.pdf,ord20050682.pdf,2005,50abbott,ORD,5
Greg,Abbott,Greg Abbott,921,11/24/09,ORD-683,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2009/pdf/ord20090683.pdf,ord20090683.pdf,2009,50abbott,ORD,6
Greg,Abbott,Greg Abbott,921,12/14/09,ORD-684,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2009/pdf/ord20090684.pdf,ord20090684.pdf,2009,50abbott,ORD,7
Greg,Abbott,Greg Abbott,921,11/3/10,ORD-685,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2010/pdf/ord20100685.pdf,ord20100685.pdf,2010,50abbott,ORD,8
Greg,Abbott,Greg Abbott,921,11/15/10,ORD-686,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2010/pdf/ord20100686.pdf,ord20100686.pdf,2010,50abbott,ORD,9
Greg,Abbott,Greg Abbott,921,3/4/11,ORD-687,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2011/pdf/ord20110687.pdf,ord20110687.pdf,2011,50abbott,ORD,10
Greg,Abbott,Greg Abbott,921,6/9/14,ORD-688,,https://www2.texasattorneygeneral.gov/opinions/openrecords/50abbott/ord/2014/pdf/ord20140688.pdf,ord20140688.pdf,2014,50abbott,ORD,11
John,Cornyn,John Cornyn,931,1/1/99,ORD-659,,https://www2.texasattorneygeneral.gov/opinions/openrecords/49cornyn/ord/1999/pdf/ord19990659.pdf,ord19990659.pdf,1999,49cornyn,ORD,12
John,Cornyn,John Cornyn,931,1/1/99,ORD-660,,https://www2.texasattorneygeneral.gov/opinions/openrecords/49cornyn/ord/1999/pdf/ord19990660.pdf,ord19990660.pdf,1999,49cornyn,ORD,13
John,Cornyn,John Cornyn,931,1/1/99,ORD-661,,https://www2.texasattorneygeneral.gov/opinions/openrecords/49cornyn/ord/1999/pdf/ord19990661.pdf,ord19990661.pdf,1999,49cornyn,ORD,14
John,Cornyn,John Cornyn,931,1/1/99,ORD-662,,https://www2.texasattorneygeneral.gov/opinions/openrecords/49cornyn/ord/1999/pdf/ord19990662.pdf,ord19990662.pdf,1999,49cornyn,ORD,15
John,Cornyn,John Cornyn,931,1/1/99,ORD-663,,https://www2.texasattorneygeneral.gov/opinions/openrecords/49cornyn/ord/1999/pdf/ord19990663.pdf,ord19990663.pdf,1999,49cornyn,ORD,16
John,Cornyn,John Cornyn,931,1/1/00,ORD-664,,https://www2.texasattorneygeneral.gov/opinions/openrecords/49cornyn/ord/2000/pdf/ord20000664.pdf,ord20000664.pdf,2000,49cornyn,ORD,17
John,Cornyn,John Cornyn,931,1/1/00,ORD-665,,https://www2.texasattorneygeneral.gov/opinions/openrecords/49cornyn/ord/2000/pdf/ord20000665.pdf,ord20000665.pdf,2000,49cornyn,ORD,18
John,Cornyn,John Cornyn,931,1/1/00,ORD-666,,https://www2.texasattorneygeneral.gov/opinions/openrecords/49cornyn/ord/2000/pdf/ord20000666.pdf,ord20000666.pdf,2000,49cornyn,ORD,19
